Ticket_ID,Customer_Age,Customer_Gender,Date_of_Purchase,Ticket_Type,Ticket_Status,Ticket_Priority,Ticket_Channel,First_Response_Time,Time_to_Resolution,Customer_Satisfaction_Rating,Resolution_Hours
1,32,Other,22-03-2021,Technical issue,Pending Customer Response,Critical,Social media,01-06-2023 12:15,,,
2,42,Female,22-05-2021,Technical issue,Pending Customer Response,Critical,Chat,01-06-2023 16:45,,,
3,48,Other,14-07-2020,Technical issue,Closed,Low,Social media,01-06-2023 11:14,01-06-2023 18:05,3,6.85
4,27,Female,13-11-2020,Billing inquiry,Closed,Low,Social media,01-06-2023 7:29,01-06-2023 1:57,3,-5.53
5,67,Female,04-02-2020,Billing inquiry,Closed,Low,Email,01-06-2023 0:12,01-06-2023 19:53,1,19.68
6,53,Male,28-07-2020,Cancellation request,Open,Low,Social media,,,,
7,24,Other,23-02-2020,Product inquiry,Open,Critical,Social media,,,,
8,23,Male,09-08-2020,Refund request,Open,Critical,Social media,,,,
9,60,Other,16-07-2020,Technical issue,Pending Customer Response,Low,Social media,01-06-2023 10:32,,,
10,27,Male,06-03-2020,Refund request,Pending Customer Response,Critical,Phone,01-06-2023 9:25,,,
11,48,Male,19-01-2021,Cancellation request,Closed,High,Phone,01-06-2023 17:46,31-05-2023 23:51,1,-17.92
12,51,Male,24-10-2021,Product inquiry,Closed,High,Chat,01-06-2023 12:05,01-06-2023 9:27,1,-2.63
13,27,Other,26-05-2021,Technical issue,Pending Customer Response,Low,Chat,01-06-2023 19:03,,,
14,65,Other,13-07-2020,Technical issue,Pending Customer Response,Low,Chat,01-06-2023 20:34,,,
15,48,Female,29-02-2020,Billing inquiry,Closed,High,Chat,01-06-2023 6:22,31-05-2023 23:08,4,-7.23
16,18,Other,24-06-2021,Billing inquiry,Pending Customer Response,High,Social media,01-06-2023 15:09,,,
17,63,Other,13-10-2021,Product inquiry,Closed,Critical,Chat,01-06-2023 19:46,01-06-2023 15:58,4,-3.8
18,56,Female,07-09-2020,Product inquiry,Pending Customer Response,High,Chat,01-06-2023 21:05,,,
19,19,Male,23-09-2021,Product inquiry,Open,High,Social media,,,,
20,39,Female,08-03-2021,Refund request,Closed,Low,Chat,01-06-2023 0:46,01-06-2023 20:29,5,19.72
21,28,Other,31-05-2021,Refund request,Pending Customer Response,High,Chat,01-06-2023 5:08,,,
22,66,Male,04-02-2020,Cancellation request,Pending Customer Response,Critical,Social media,31-05-2023 23:57,,,
23,54,Female,11-02-2020,Cancellation request,Open,Medium,Social media,,,,
24,63,Female,06-08-2021,Technical issue,Pending Customer Response,Low,Social media,01-06-2023 9:06,,,
25,19,Male,25-05-2021,Product inquiry,Open,Critical,Email,,,,
26,35,Other,05-07-2021,Product inquiry,Pending Customer Response,Medium,Social media,01-06-2023 19:02,,,
27,22,Other,02-05-2020,Billing inquiry,Pending Customer Response,Low,Social media,01-06-2023 20:02,,,
28,21,Other,12-10-2020,Cancellation request,Open,High,Phone,,,,
29,30,Other,10-06-2020,Technical issue,Closed,Critical,Phone,31-05-2023 23:17,01-06-2023 6:03,5,6.77
30,67,Male,26-12-2020,Cancellation request,Closed,Medium,Phone,01-06-2023 0:54,01-06-2023 18:23,1,17.48
31,22,Other,28-01-2021,Billing inquiry,Open,Low,Email,,,,
32,60,Male,20-12-2021,Technical issue,Closed,Medium,Social media,01-06-2023 6:42,01-06-2023 7:16,3,0.57
33,36,Female,07-12-2021,Billing inquiry,Pending Customer Response,Medium,Chat,01-06-2023 19:36,,,
34,50,Male,09-12-2021,Refund request,Closed,Critical,Social media,01-06-2023 2:01,01-06-2023 18:25,5,16.4
35,27,Male,09-04-2021,Refund request,Pending Customer Response,Low,Chat,01-06-2023 20:50,,,
36,24,Other,13-10-2020,Cancellation request,Closed,High,Chat,01-06-2023 7:56,01-06-2023 0:14,1,-7.7
37,65,Female,14-03-2020,Refund request,Pending Customer Response,Medium,Email,01-06-2023 15:51,,,
38,39,Female,02-09-2020,Product inquiry,Open,Medium,Chat,,,,
39,19,Male,10-09-2021,Technical issue,Closed,Critical,Phone,01-06-2023 18:45,31-05-2023 21:53,3,-20.87
40,33,Other,22-10-2021,Product inquiry,Pending Customer Response,Medium,Social media,31-05-2023 22:19,,,
41,19,Female,07-02-2021,Product inquiry,Pending Customer Response,Low,Phone,01-06-2023 9:11,,,
42,35,Male,09-06-2021,Billing inquiry,Closed,Critical,Chat,01-06-2023 20:25,01-06-2023 14:43,3,-5.7
43,22,Male,10-10-2020,Product inquiry,Pending Customer Response,Medium,Phone,01-06-2023 18:41,,,
44,54,Female,16-01-2020,Technical issue,Open,Low,Email,,,,
45,34,Other,25-09-2021,Refund request,Closed,Critical,Email,01-06-2023 5:58,01-06-2023 3:19,2,-2.65
46,65,Female,01-02-2021,Product inquiry,Open,Low,Chat,,,,
47,50,Female,15-10-2020,Refund request,Closed,High,Phone,01-06-2023 3:43,01-06-2023 9:24,1,5.68
48,27,Female,29-07-2020,Technical issue,Closed,Medium,Social media,01-06-2023 7:16,01-06-2023 5:59,1,-1.28
49,32,Other,15-02-2021,Cancellation request,Open,High,Chat,,,,
50,44,Male,27-09-2020,Technical issue,Open,Medium,Chat,,,,
51,66,Male,22-12-2020,Refund request,Open,Medium,Chat,,,,
52,64,Male,20-11-2020,Refund request,Closed,Medium,Chat,01-06-2023 16:21,01-06-2023 10:31,3,-5.83
53,54,Male,10-10-2021,Refund request,Closed,High,Social media,01-06-2023 1:54,01-06-2023 20:59,3,19.08
